"sampleIndex","capturedAtUtc","elapsedSeconds","processCount","treeWorkingSetBytes","treePrivateBytes","pid","parentPid","name","startTimeUtcTicks","processCpuSeconds","processWorkingSetBytes","processPrivateBytes"
"15","2026-09-03T07:47:59.0502713Z","18,9266389","7","412807168","335368192","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117870592","93224960"
"15","2026-09-03T07:47:59.0502713Z","18,9266389","7","412807168","335368192","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37179392","13332480"
"15","2026-09-03T07:47:59.0502713Z","18,9266389","7","412807168","335368192","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"15","2026-09-03T07:47:59.0502713Z","18,9266389","7","412807168","335368192","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"16","2026-09-03T07:48:00.3286608Z","20,1907179","7","412803072","335364096","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"16","2026-09-03T07:48:00.3286608Z","20,1907179","7","412803072","335364096","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"16","2026-09-03T07:48:00.3286608Z","20,1907179","7","412803072","335364096","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"16","2026-09-03T07:48:00.3286608Z","20,1907179","7","412803072","335364096","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117866496","93220864"
"16","2026-09-03T07:48:00.3286608Z","20,1907179","7","412803072","335364096","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37179392","13332480"
"16","2026-09-03T07:48:00.3286608Z","20,1907179","7","412803072","335364096","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"16","2026-09-03T07:48:00.3286608Z","20,1907179","7","412803072","335364096","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"17","2026-09-03T07:48:01.5863525Z","21,4583693","7","412803072","335364096","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"17","2026-09-03T07:48:01.5863525Z","21,4583693","7","412803072","335364096","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"17","2026-09-03T07:48:01.5863525Z","21,4583693","7","412803072","335364096","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"17","2026-09-03T07:48:01.5863525Z","21,4583693","7","412803072","335364096","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117866496","93220864"
"17","2026-09-03T07:48:01.5863525Z","21,4583693","7","412803072","335364096","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37179392","13332480"
"17","2026-09-03T07:48:01.5863525Z","21,4583693","7","412803072","335364096","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"17","2026-09-03T07:48:01.5863525Z","21,4583693","7","412803072","335364096","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"18","2026-09-03T07:48:03.0642050Z","22,722859","7","412803072","335364096","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"18","2026-09-03T07:48:03.0642050Z","22,722859","7","412803072","335364096","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"18","2026-09-03T07:48:03.0642050Z","22,722859","7","412803072","335364096","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"18","2026-09-03T07:48:03.0642050Z","22,722859","7","412803072","335364096","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117866496","93220864"
"18","2026-09-03T07:48:03.0642050Z","22,722859","7","412803072","335364096","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37179392","13332480"
"18","2026-09-03T07:48:03.0642050Z","22,722859","7","412803072","335364096","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"18","2026-09-03T07:48:03.0642050Z","22,722859","7","412803072","335364096","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"19","2026-09-03T07:48:04.3842512Z","24,2048807","7","412803072","335364096","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"19","2026-09-03T07:48:04.3842512Z","24,2048807","7","412803072","335364096","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"19","2026-09-03T07:48:04.3842512Z","24,2048807","7","412803072","335364096","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"19","2026-09-03T07:48:04.3842512Z","24,2048807","7","412803072","335364096","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117866496","93220864"
"19","2026-09-03T07:48:04.3842512Z","24,2048807","7","412803072","335364096","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37179392","13332480"
"19","2026-09-03T07:48:04.3842512Z","24,2048807","7","412803072","335364096","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"19","2026-09-03T07:48:04.3842512Z","24,2048807","7","412803072","335364096","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"20","2026-09-03T07:48:05.7592512Z","25,5183732","7","412803072","335364096","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"20","2026-09-03T07:48:05.7592512Z","25,5183732","7","412803072","335364096","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"20","2026-09-03T07:48:05.7592512Z","25,5183732","7","412803072","335364096","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"20","2026-09-03T07:48:05.7592512Z","25,5183732","7","412803072","335364096","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117866496","93220864"
"20","2026-09-03T07:48:05.7592512Z","25,5183732","7","412803072","335364096","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37179392","13332480"
"20","2026-09-03T07:48:05.7592512Z","25,5183732","7","412803072","335364096","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"20","2026-09-03T07:48:05.7592512Z","25,5183732","7","412803072","335364096","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"21","2026-09-03T07:48:07.1195075Z","26,8920671","7","412803072","335364096","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"21","2026-09-03T07:48:07.1195075Z","26,8920671","7","412803072","335364096","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"21","2026-09-03T07:48:07.1195075Z","26,8920671","7","412803072","335364096","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"21","2026-09-03T07:48:07.1195075Z","26,8920671","7","412803072","335364096","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117866496","93220864"
"21","2026-09-03T07:48:07.1195075Z","26,8920671","7","412803072","335364096","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37179392","13332480"
"21","2026-09-03T07:48:07.1195075Z","26,8920671","7","412803072","335364096","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"21","2026-09-03T07:48:07.1195075Z","26,8920671","7","412803072","335364096","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"22","2026-09-03T07:48:08.4455261Z","28,2478575","7","412803072","335364096","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11923456","3833856"
"22","2026-09-03T07:48:08.4455261Z","28,2478575","7","412803072","335364096","7972","17972","narro.exe","639240180863270912","3,0625","34156544","63430656"
"22","2026-09-03T07:48:08.4455261Z","28,2478575","7","412803072","335364096","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35373056"
"22","2026-09-03T07:48:08.4455261Z","28,2478575","7","412803072","335364096","19080","7972","msedgewebview2.exe","639240180864534440","4,640625","117866496","93220864"
"22","2026-09-03T07:48:08.4455261Z","28,2478575","7","412803072","335364096","19332","19080","msedgewebview2.exe","639240180866980426","0,328125","37179392","13332480"
"22","2026-09-03T07:48:08.4455261Z","28,2478575","7","412803072","335364096","29708","19080","msedgewebview2.exe","639240180866977728","15,5","113418240","117211136"
"22","2026-09-03T07:48:08.4455261Z","28,2478575","7","412803072","335364096","30828","19080","msedgewebview2.exe","639240180867349830","0,140625","20525056","8962048"
"23","2026-09-03T07:48:09.7340942Z","29,5752709","7","412680192","335069184","32","19080","msedgewebview2.exe","639240180865273593","0,03125","11907072","3801088"
"23","2026-09-03T07:48:09.7340942Z","29,5752709","7","412680192","335069184","7972","17972","narro.exe","639240180863270912","3,0625","34103296","63336448"
"23","2026-09-03T07:48:09.7340942Z","29,5752709","7","412680192","335069184","18612","19080","msedgewebview2.exe","639240180870815075","9,65625","77733888","35336192"
